nama,harga,rating,jumlah_review,link,wilayah
Apartment in Sumurbandung - [Luxurious&Cozy] Lagrande 3 Apt Bandung|3guest,"Rp 2,765,000",4.98,80,https://www.airbnb.com/rooms/1520174217410374968,Kota Bandung
Room in Bandung Wetan - The Gempol Room - Aesthetic and Strategic 9,"Rp 1,412,207",4.75,8,https://www.airbnb.com/rooms/1530362853747738321,Kota Bandung
Rooms in Lengkong - Tatami | Bandung | Asia Afrika | Braga | Pool,"Rp 7,303,533",4.81,16,https://www.airbnb.com/rooms/1586262454421955053,Kota Bandung
Apartment in Kecamatan Cidadap - Diamond Deluxe Jacuzzi Suite | Art Deco |near Dago,"Rp 5,238,002",4.92,386,https://www.airbnb.com/rooms/40056094,Kota Bandung
Apartment in Kecamatan Cicendo - New Astounding 2BR Landmark Residence | Paskal 23,"Rp 5,347,228",4.87,77,https://www.airbnb.com/rooms/1172240088774066112,Kota Bandung
Apartment in Kecamatan Andir - Airy 2 BR+ | Sudirman Suites Apartment | 18 RW 06,"Rp 2,395,379",4.89,133,https://www.airbnb.com/rooms/869142740134473852,Kota Bandung
Home in Coblong - Terrace Sunset Home · Gathering House,"Rp 7,132,356",4.92,25,https://www.airbnb.com/rooms/1382523510458431416,Kota Bandung
Apartment in Coblong - • Midsommar Home • 2BR WiFi + Smart TV,"Rp 3,173,048",4.9,478,https://www.airbnb.com/rooms/30790706,Kota Bandung
Villa in Kecamatan Cidadap - Villa Mariposa- Elderly & Pet Friendly - Karaoke,"Rp 27,984,500",4.96,69,https://www.airbnb.com/rooms/901985825295132274,Kota Bandung
"Home in Cimenyan - Belio Sativa, Dago","Rp 48,500,023",N/A,0,https://www.airbnb.com/rooms/1632461683556783853,Kota Bandung
Apartment in Kecamatan Sukajadi - youre•at Nara Tranquil Japanese 3BR/96sqm,"Rp 8,984,250",4.96,26,https://www.airbnb.com/rooms/1297934005662068398,Kota Bandung
Apartment in Kecamatan Cicendo - 2 BR Midcentury Modern Apartment | Gateway Pasteur,"Rp 3,047,919",4.91,75,https://www.airbnb.com/rooms/1202599093559884787,Kota Bandung
Apartment in Kecamatan Cicendo - Spacious Luxury Scandinavian 3BR Gateway Pasteur,"Rp 4,571,086",4.82,235,https://www.airbnb.com/rooms/34704611,Kota Bandung
Place to stay in Bandung - 806 La Grande Studio,"Rp 2,354,476",4.82,345,https://www.airbnb.com/rooms/18120079,Kota Bandung
Home in Kecamatan Cibeunying Kaler - Cozy2BRVilla@DagoPetFriendlyBbqEVCharger,"Rp 4,750,000",4.97,111,https://www.airbnb.com/rooms/787421308001215401,Kota Bandung
"Condo in Lengkong - Teebra Bandung | A Calm, Aesthetic Tiny Apartment","Rp 4,660,000",4.95,75,https://www.airbnb.com/rooms/1486120447516202043,Kota Bandung
Guesthouse in Margahayu - Roomah Ijo - Your Private Home in Bandung,"Rp 3,643,360",4.94,17,https://www.airbnb.com/rooms/1650555537141692712,Kota Bandung
Apartment in Cicendo - Fjord | 2 BR Lagom Suites | Gateway Pasteur,"Rp 2,844,708",4.91,33,https://www.airbnb.com/rooms/1412148644227544885,Kota Bandung
Guest suite in Bandung - Bumi Sajoly - A Home Away From Home,"Rp 9,694,299",4.91,221,https://www.airbnb.com/rooms/12279548,Kota Bandung
Home in Pasteur - Bumiresik I Guesthouse 2 BR in North Bandung,"Rp 3,708,825",4.83,41,https://www.airbnb.com/rooms/15705630,Kota Bandung
Home in Kecamatan Coblong - SkyCastle (Pavilion at Heritage House @ Dipatiukur,"Rp 1,758,412",4.89,131,https://www.airbnb.com/rooms/1132268352084302065,Kota Bandung
Home in Kecamatan Cidadap - House of Merino at Ciumbuluit,"Rp 5,098,471",4.84,69,https://www.airbnb.com/rooms/1054737590412253710,Kota Bandung
Home in Lengkong - Arsyilla Villa Bubat,"Rp 6,276,474",4.85,54,https://www.airbnb.com/rooms/1491698183235714940,Kota Bandung
